"Regime","Tipo","Preco","Ocasiao","Perfil"
"Normal","Comida tradicional","11a20","Algumas vezes","perfil24"
"Vegetariano","Vegetariana","11a20","Algumas vezes","perfil96"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Vegetariano","Vegetariana","20+","Dias especiais","perfil80"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Normal","Comida oriental","20+","Algumas vezes","perfil34"
"Normal","Fast-Food","1a10","Dias especiais","perfil21"
"Normal","Comida tradicional","20+","Dieta","perfil26"
"Normal","Vegetariana","11a20","Dieta","perfil14"
"Vegan","Comida tradicional","11a20","Dieta","perfil59"
"Normal","Vegetariana","20+","Algumas vezes","perfil18"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Normal","Comida oriental","20+","Dias especiais","perfil34"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Normal","Fast-Food","1a10","Dias especiais","perfil1"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Normal","Comida tradicional","11a20","Dias especiais","perfil22"
"Normal","Comida tradicional","11a20","Dias especiais","perfil22"
"Vegetariano","Vegetariana","11a20","Dias especiais","perfil79"
"Vegetariano","Fast-Food","11a20","Dieta","perfil93"
"Normal","Comida oriental","20+","Dias especiais","perfil34"
"Vegan","Comida tradicional","20+","Algumas vezes","perfil61"
"Vegetariano","Comida oriental","11a20","Dias especiais","perfil83"
"Normal","Comida oriental","20+","Dias especiais","perfil34"
"Vegetariano","Vegetariana","20+","Algumas vezes","perfil104"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Normal","Comida oriental","20+","Dieta","perfil35"
"Vegan","Comida oriental","11a20","Dias especiais","perfil68"
"Normal","Fast-Food","1a10","Dias especiais","perfil1"
"Vegan","Comida oriental","20+","Dieta","perfil70"
"Normal","Comida oriental","20+","Dias especiais","perfil34"
"Normal","Comida oriental","20+","Algumas vezes","perfil33"
"Vegan","Vegetariana","11a20","Dias especiais","perfil49"
"Normal","Comida tradicional","1a10","Algumas vezes","perfil21"
"Normal","Comida tradicional","11a20","Algumas vezes","perfil24"
"Vegetariano","Vegetariana","11a20","Algumas vezes","perfil96"
"Vegan","Fast-Food","1a10","Dieta","perfil38"
"Vegetariano","Vegetariana","11a20","Algumas vezes","perfil96"
"Vegan","Fast-Food","1a10","Dieta","perfil38"
"Normal","Comida tradicional","11a20","Algumas vezes","perfil24"
"Vegetariano","Fast-Food","1a10","Dias especiais","perfil73"
"Vegan","Comida oriental","11a20","Algumas vezes","perfil69"
"Normal","Comida tradicional","11a20","Algumas vezes","perfil24"
"Vegetariano","Comida oriental","11a20","Algumas vezes","perfil100"
"Vegan","Comida tradicional","1a10","Dias especiais","perfil56"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Vegetariano","Comida oriental","20+","Dias especiais","perfil84"
"Vegan","Comida oriental","11a20","Algumas vezes","perfil69"
"Vegetariano","Comida oriental","20+","Algumas vezes","perfil84"
"Vegan","Comida oriental","11a20","Algumas vezes","perfil69"
"Vegetariano","Comida tradicional","11a20","Dieta","perfil97"
"Vegan","Comida tradicional","20+","Dias especiais","perfil63"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Vegetariano","Fast-Food","1a10","Algumas vezes","perfil86"
"Vegan","Comida tradicional","20+","Dias especiais","perfil63"
"Normal","Comida tradicional","11a20","Dias especiais","perfil22"
"Vegetariano","Vegetariana","11a20","Dieta","perfil95"
"Normal","Vegetariana","11a20","Dieta","perfil14"
"Vegan","Fast-Food","11a20","Dieta","perfil41"
"Normal","Fast-Food","1a10","Dias especiais","perfil1"
"Vegetariano","Vegetariana","11a20","Dieta","perfil95"
"Vegan","Fast-Food","11a20","Dieta","perfil41"
"Vegetariano","Comida tradicional","20+","Dias especiais","perfil82"
"Normal","Vegetariana","20+","Dieta","perfil18"
"Vegan","Comida tradicional","1a10","Algumas vezes","perfil39"
"Vegetariano","Vegetariana","20+","Algumas vezes","perfil104"
"Normal","Comida tradicional","11a20","Dieta","perfil23"
"Vegan","Comida oriental","11a20","Dieta","perfil67"
"Normal","Fast-Food","11a20","Algumas vezes","perfil7"
"Vegetariano","Vegetariana","11a20","Dias especiais","perfil79"
"Vegan","Fast-Food","1a10","Dias especiais","perfil37"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Vegetariano","Fast-Food","11a20","Algumas vezes","perfil94"
"Normal","Vegetariana","1a10","Algumas vezes","perfil13"
"Vegan","Comida oriental","11a20","Algumas vezes","perfil69"
"Normal","Comida tradicional","1a10","Dias especiais","perfil20"
"Vegan","Comida tradicional","1a10","Algumas vezes","perfil57"
"Vegetariano","Comida tradicional","11a20","Algumas vezes","perfil98"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Vegan","Comida oriental","1a10","Algumas vezes","perfil66"
"Vegetariano","Comida oriental","11a20","Dieta","perfil99"
"Vegan","Fast-Food","1a10","Dieta","perfil38"
"Normal","Comida oriental","11a20","Dias especiais","perfil31"
"Vegan","Comida oriental","11a20","Algumas vezes","perfil69"
"Vegetariano","Comida oriental","20+","Algumas vezes","perfil108"
"Normal","Fast-Food","1a10","Algumas vezes","perfil3"
"Vegetariano","Vegetariana","11a20","Algumas vezes","perfil96"
"Vegan","Comida tradicional","20+","Algumas vezes","perfil61"
"Normal","Comida oriental","20+","Dias especiais","perfil34"
"Vegetariano","Vegetariana","11a20","Dias especiais","perfil79"
"Normal","Comida oriental","20+","Algumas vezes","perfil36"
"Vegan","Comida tradicional","20+","Algumas vezes","perfil61"
"Vegetariano","Fast-Food","1a10","Algumas vezes","perfil86"
"Normal","Vegetariana","11a20","Dieta","perfil15"
"Vegan","Fast-Food","11a20","Dieta","perfil41"
"Vegetariano","Vegetariana","1a10","Algumas vezes","perfil88"
"Normal","Comida tradicional","11a20","Dias especiais","perfil22"
"Normal","Comida tradicional","1a10","Dias especiais","perfil20"
"Normal","Comida tradicional","11a20","Algumas vezes","perfil24"
"Normal","Comida tradicional","20+","Algumas vezes","perfil27"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
"Vegetariano","Vegetariana","1a10","Dias especiais","perfil74"
"Vegetariano","Vegetariana","1a10","Dias especiais","perfil74"
"Vegetariano","Vegetariana","1a10","Dias especiais","perfil74"
"Normal","Comida tradicional","20+","Dias especiais","perfil25"
